SLD,SST,SSS,Density,D23,MLD,OHC,WS,WSC,HF,SV
12.9642518,30.11220536,32.857063,1023.037401,86.11306668,15.61333002,10.92,0.002843203,-4.63E-07,75.52840492,1539.217349
25.06326235,29.91594971,32.92784,1022.768231,88.11130286,34.05103392,11.1,0.021144415,-6.75E-07,66.20739054,1539.940813
27.28435506,29.55685884,33.015923,1022.808352,90.8385722,33.56523284,11.13,0.039373734,-2.47E-07,71.67007245,1540.100865
34.47881417,29.10878218,33.02613,1022.986192,86.21698849,38.15566293,10.88,0.034227998,-4.36E-08,74.46144095,1538.893382
38.56315155,28.71392007,32.816563,1022.966409,87.97049291,37.08771518,10.89,0.040981535,8.87E-08,85.85958391,1538.642312
37.32841963,28.73632334,32.50022,1022.936445,89.45077893,35.47109392,10.91,0.028405997,6.30E-07,88.66745186,1538.69302
36.59243776,28.95306961,32.15129,1022.917177,88.70109217,31.55679886,10.87,0.005394192,8.10E-07,64.98069445,1538.487534
37.70932183,28.94411591,32.102894,1022.804728,89.60921224,36.68108266,10.96,-0.016741471,4.81E-07,5.154454763,1538.852248
44.47150186,27.98896233,32.336266,1022.871452,91.67536897,46.94883378,10.95,-0.021239016,5.49E-08,-20.25269652,1538.373541
47.33523393,27.5735426,32.435566,1023.012555,87.74653404,37.08479938,10.74,-0.019513447,-2.07E-07,-1.898638693,1537.381719
41.68378662,27.71352369,32.546932,1023.145424,82.36580322,38.78339476,10.59,-0.009288819,-3.43E-07,25.42296244,1536.808868
31.82911791,28.64194422,32.728138,1023.088818,87.34023838,21.6601691,10.78,-0.000218609,-2.47E-07,68.20541407,1538.067706
16.54331654,30.14574505,32.83332,1022.915166,89.70284145,14.60245852,11.03,0.00447394,-3.93E-07,80.78448393,1539.687902
26.35504457,29.95852576,32.98657,1022.674763,92.63010374,25.07320729,11.29,0.021531607,-7.91E-07,64.70164964,1540.974163
38.31470817,29.32055643,33.045597,1022.723217,89.06535551,39.68294633,11.25,0.047330795,-2.56E-07,58.41701755,1540.588809
38.92220156,28.89685502,32.949505,1022.891649,87.41357498,42.05170608,10.98,0.034716937,-4.90E-09,76.43462006,1539.224079
34.96428465,28.79794111,32.754585,1022.990521,84.8975193,30.73732562,10.78,0.04693343,4.11E-07,81.31093029,1537.953502
29.71589051,28.9937491,32.33606,1023.010533,86.50531501,30.41198636,10.76,0.011113095,8.90E-07,84.49752785,1537.9158
31.05508854,29.10611066,32.182648,1022.936819,86.55161429,27.45123265,10.79,-0.002663341,5.18E-07,49.68338312,1538.241063
35.77887333,28.6807878,32.218376,1022.861533,88.08490162,35.60732037,10.91,-0.017619767,3.45E-07,17.04259159,1538.650968
43.1923626,27.94614404,32.25971,1022.905961,91.59489987,48.26727245,10.92,-0.021743636,-8.87E-09,-19.25098542,1538.330734
44.26957537,27.49220507,32.39645,1023.02283,89.99890951,51.61153982,10.75,-0.016890087,-2.43E-07,2.908112895,1537.367585
41.12332918,28.02544372,32.616566,1023.047721,86.96477094,44.27828423,10.71,-0.008049816,-2.20E-07,31.34389591,1537.440498
25.44184184,28.89551647,32.75195,1023.117464,83.95371159,30.06706758,10.73,-0.004162539,-1.59E-07,68.14174147,1537.903724
12.66778961,30.18252049,32.723293,1022.96018,86.62028702,18.74049,10.97,0.00083694,-4.25E-07,83.82670162,1539.290863
18.89236937,30.43750146,32.86708,1022.823874,86.3027678,25.05945677,11.07,0.019309717,-8.34E-07,64.2479159,1539.819256
33.82062097,29.82684207,32.953568,1022.737719,87.83327423,39.38717232,11.17,0.046449782,-4.36E-07,59.50906763,1540.180309
38.58764265,29.34829517,32.912575,1022.866089,86.23474234,46.82345552,10.98,0.042491299,1.26E-07,59.2166885,1539.20685
